comments,Logistic Regression,Gradient Boosting
es increible como el ciudadano occidental se va aborregando es que nadie se da cuenta tesla y otras marcas saben exactamente donde estas a donde vas etc goxxx sabe todo sobre cualquiera que tenga un movil o sea casi todo el mundolas redes sociales deciden si una publicacion es o no conveniente no es extrano que tesla decida darte de baja el coche menos mal que no es un marcapasos que todo se andara y esto no ha hecho mas que empezar gracias angel por contar las cosas con claridad he aprendido mucho viendote animo,0,0
como siempre angel un video muy interesante,0,1
lo verde es simplemente una verdestafa empezando por su denominacion que pretende simplemente identificarse con el mundo vegetal el color verde no es querido por el mundo vegetal esas longitudes de onda de la luz verde no les sirven a las plantas para nada por eso las vemos de color verde por que rechazan la luz verde,0,0
fraude asi de simple imagina todo el problema por jnos coches q cada dia valen menos por la degradacion de la bateria,1,0
buenos un maquina total no cambies,1,1
se llama curarse en salud si dejan reparar libremente estos coches con total seguridad que gente con pocos conocimientos o ningunos meterian las manos en ellos y los accidentes con las baterias de estos se elevarian con la consecuente publicidad negativa para la marca la solucion la tenemos sencillamente es no comprar coches de este tipo,0,0
yo lo que no entiendoes que vehiculos como el toyota mirai alimentado con hidrogeno no tengan mercado ni posibilidad de tener uno aqui en espana y esta estafa con ruedas si,0,0
no entiendo un coche electrico que para encender necesita una bateria externa,1,0
el proximo video coges coches electricos del desguace para desprestigiarlos porque los que circulan por las carreteras pocos entran en tu taller,0,0
excelente denuncia angel cronica de una muerte no anunciada,0,0
joder cuanta informacion interesante de como funciona el mundo bajo la superficie brillante,0,0
habra que exigirles a los vendedores de tesla que lo compro si me dan el pin o sino adios,0,0
cuantos coches alemanes bmw audi etc habria con el titulo salvage si sus fabricantes monitorizaran tambien el uso que le dan sus clientes,0,0
esto es lo que de verdad se esconde detras de los coches electricos y la famosa agenda dos mil treinta coches conectados y que se puedan controlar cuando no interese que funcione o que no interese que vaya por x ciudadsitiolugar,0,0
puedes llevar el coche en una grua a la itv,0,0
pues nada a por ellos cuando tocan el ego todo es posible,0,0
hay que cambiar las leyes esto no puede ser,0,0
espero que veamos como resucitas estos dos teslas sera muy interesante ver ese proyecto y como le ganas a elon de nuevo,0,0
no quiero un tesla ni regalado caros y encima el coche no es tuyo,1,1
como para arriesgarse a comprar un tesla de segunda mano,1,1
lo que va a pasar es que con el paso de los anos la gente va a dejar de comprar tesla y tendran que cambiar la politica o desaparece la empresa si pagas un auto se supone que es tuyo y no de la empresa que te lo vendio,0,0
con dos cojones gaitan al hacerlo publico como tu dices vivimos en un mundo absurdo y lleno de mentiras,0,0
manda huevos estos de tesla tienen unos cojones mi madre en precio bmw electrico y punto al menoscompras calidad,0,0
por este tipo de cosas entre otras no me compraria nunca un tesla,0,0
pues seguimos igual el coche electrico no es la alternativa y menos con tesla,0,0
salvage no es salvaje gaitan otra vez desinformando te apoyo en tu batalla contra tesla por tu coche pero no desinformes porque pierdes credibilidad,0,0
a ver si puedes devolverlos a la carretera molaria verlo,1,0
jorge de ochenta electronico te lo solucionan,1,1
se llama tesla pero nada que ver con nikkola tesla,0,0
no soy un experto pero me parece medio tontin en un coche como ese requiera una bateria normalita como de un coche de combustion xd,0,0
gaitan mas razon que un santo como siempre con la verdad por delante le guste o no a los demas enhorabuena angel deseando ir a madrid para ensenarte mi a6 v6 treinta valvulas gasolina con veintisiete anos,0,0
hay que ir a saco contra las cosas que son ilegales,1,0
una mierda me compro un coche para que me tengan tan controlado,1,0
y que siga habiendo gente comprando estas lavadoras increible me sigo quedando con mi v6 gasolina eterno,0,0
sumamente interesante y terrorifico al mismo tiempo tengo una dudasolo pasa con tesla o es en general con todos los electricos incluidos los chinos que pongan esos limitaciones al querer repararlos por tu cuentasoy de mexico y apenas estamos con un crecimiento de electricos pero todavia no llegamos a que haya talleres para electricos muchas marcas chinas estan con serios problemas de refacciones y no se que pase en unos anos cuando ya no haya garantias o alguien quiera reparar por su cuenta su autoun gran saludo y atento a como se desarrolla ese caso del tesla,0,0
creo que dentro de no mucho tiempo veremos con empiezan a salir talleres de reprogramacion de coches no de meterle mas potencia al motor sino de sacarle el software al coche y meterle otro donde funcione todo y funcione como al cliente le guste los fabricantes recibiran un pago inicial por el coche y ya no volveran a recibir un duro por ese coche,0,0
excelente comentario angel yo me arrepenti unas horas antes de comprar un tesla tres la razon es muy sencilla los sinverguenzas me daban apenas aus30000 en parte de pago por mi auto hibrido que en ese entonces era dos anos viejo despues de mucho tira y afloja me di cuenta que lo resumo en dos palabras la mafia tesla le importa un comino el environment el cliente etc solo les importa que tu compres bajo los terminos de ellos tesla,0,0
lo bueno de estos autos electricos es que son para toda la vida osea no te lo sacas mas de arriba quien en su sano juicio podria comprar un electrico con cien mil o doscientos mil kms usado y despues un tesla q en su momento se llego a pagar fortunas por el viene la marca y t rebajan sus precios al punto q hertz vendian sus usados por 15000u en algunos casos toda esta locura de los electricos no solo es pura ideologia ademas quieren manejar nuestras vidas estafadores eso es lo q son y el pueblo cordero avanza al matadero,0,0
que me compre un coche electrico que me da la risa esto es de juzgado de guardia,0,0
un dia tesla es buena ahora mala manana sera la mejor si te da el codigo sino son lavadoras para siempre,0,0
resumen nuevo orden mundial agenda dos mil treinta control total esclavitud totalgenial video angel,0,1
a volver a los coches de antes del dos mil veinte la verdad que tener un coche conectado a cualquier tipo de red corre ese peligro donde hay una conexion hay una entrada,0,0
porquerias electricasgastan plata en un auto que les gusta y esta bien le gusto y se lo compra y despues le pasa algo asi te debe dar una rabiaque lo que es tuyo no lo puedes reparar o usar da rabiamenos mal que esas porquerias de tesla no llegan aca argentina,0,0
ningun tesla vale para nada solo valen el precio que tienen ala hora de comprar que son caros de cojones y luego todo prolemas jajajajaj,0,0
molaba que se pudiera hackearla verdad,1,1
esos coches son como la patata caliente pasan de uno a otro hasta que de casualidad explota,1,0
hay que checar que dice el contrato de compraventa y aun asi aunque lo permita el contrato lo que estan haciendo es un atropello,0,0
afortunadamente jamas voy a tener este problema con mi vw jetta de cinco cilindros y caja manual,1,0
uno,1,1
trescientos veintiséis la palabra salvaje esta en ingles y quiere decir salvamento,0,0
es una putada no poder ponerle un motor a esa lavadora jaja espana y sus leyes pero luego te puedes identificar como transforme,0,1
eso es lo que pasa con toda esa mierda electronica pagas fortunas por un movil un coche una moto un tv y encima terminas vigilado las veinticuatro hs y cuando se les ocurre dejan inservible lo que compraste te roban te escuchan te ven saben exactamente donde estas en todo momento y deciden sobre algo que es tuyo no es ese el camino,0,0
ya no somos duenos de nada ya solo nos hacen pagar la licencia de uso y muy cara y vale para todo,0,0
pobre michael motors se complica la cosa nino,0,0
el problema angel es entrar en el codigo de tesla una vez consigues entrar esta todo hecho eso es realmente lo dificil en francia se de gente que a conseguido desvincular el coche de los sistemas remotos y quedar como si dijeramos sin conexion a tesla con el coche pero el coche sigue teniendo internet con tu telefono sin problema ahora va a ver problemas muy serios con la normativa que entra en julio de la dgt y se va a liar parda hoy en dia ya no interesa comprarse un coche nuevo si lo que buscas aparte de lo evidente poder reparar tu coche en tu casa si quieres y digo reparar que cambiar piezas lo sabe tambien paco el de mi pueblo suerte y si pudieseis mostrar los avances con cualquiera de los dos seria la leche aunque cuidado con el que compraste tu de lo que mostrais porque en este pais todo mundo tiene derechos menos el que intenta buscarse la vida honradamente un saludo a todo el equipo,0,0
cada vez mas contento de mi bmw m3 e46 que no necesitas pin,0,0
eso no te dicen antes de comprar el coche,1,0
no me comprare un electrico ni muerto son una mierda un monton de problemas,1,0
puedes quitar el pin por el toolbox,0,1
angel echale una mano a michael motors youtube que tiene un marron con un tesla,0,0
eres grande angel gracias por ayudar a los que hemos invertido en esta marca que al final se convirtio en un dolor de cabeza esperamos que nos ayudes a que tesla cambie sus politicas,0,0
no se que de todo es peor que lo anterior,1,0
lo del primero se protegen en caso de que las reparaciones no esten bien hechas y el coche se accidente por eso no quieren que se piense que es por culpa de la marca que la gran mayoria de accidentes de estos autos se han demostrado por las camaras que ha sido culpa del cunductor por eso te lo tienen que certificar es una pvtada pero ninguna empresa hace cosas por buena voluntad el segundo si lo veo justificable ya que desde la primera venta se debio preguntar por el pin pasa lo mismo que con un iphone si no te sabes la contrasena y no tienes comprobante de pago hay que aplicar las manas,0,0
esto es intolerable y no se debe de permitir lo cortes no quita lo valiente si lo hacen mal a por ellos angel,1,0
titulo salvage es una clasificacion americana que basicamente quiere decir siniestro los que se clasifican asi ya no pueden volver a circular en eeuu normalmente se exportan a otros lugares con regulacion menos exigente,0,0
justamente el sistema no esta mal hecho esta hecho para sangrar a los usuarios saludos desde montevideo uruguay,0,0
esto va para pleito y tu lo vas a volver a ganar angel,1,1
tambien te digo angel que adelante con este proyecto seguro que lo sacaras adelante formacion experiencia conocimientos y ganas te sobran a raudales adelante,1,1
ese coche en polonia lituania o rusia esta quitado el pin en cinco minutos hasta hay puedo leer,0,0
diesel biturbo al poder,1,1
se informo que muchos electricos salvage se importan a ucrania al parecer por dos motivos unos para sacarles las baterias para hacer drones militares y los otros los que estan en mejor estado para circular con ellos personas particulares debido al precio del combustible en un pais en guerra parece que los ucranianos saben como jaquear los tesla tienen acceso a tecnologia militar avanzada en la guerra electronica y quizas una parte de lo que importan lo dedican al ambito militar y otra parte al mundo civil con la que obtienen ingresos para seguir comprando,0,0
y luego me dicen ami con mi vitara de treinta y tres anos que voy contaminando no le arriendo la ganancia a todod aquellos que se han comprado un tesla model s y han pagafo setenta mil y ahora estan en tu taller muertos y si como decis los que os dedicais a reparar estos engendros electricos no son tan respetuosos con el medio ambiente cuando termina su vida util con cinco anos y de ellos seguro que cuatro parados a mi no me venden esta moto seguire con mi vitara de treinta y dos anos que se repara con cuatro llaves y sin centralitas y aunque contamine un poco y como decia el gran martinez soria la cudad noes para mi un abrazo angel,0,0
no existe ni el bien ni el malsi no el poder una frase que es cuche al brujoen una pelicula de harry potter yla vida mismatristamente continua asi,0,0
que a testaduro no te gane nadie,0,0
estos son los abusos a los que tesla esta acostumbrando a sus usuarios mientras haya clientes incautos o despreocupados estos tiranos seguiran existiendo la culpa no la tiene el chancho sino el que le da de comer abrazo querido angel,0,0
aqui si,1,1
esto es hacia donde va todo estaremos controlados por terceros que dirigiran nuestra vida y nosotros solo para pagar,0,0
totalmente ilegal el coche es tuyo,1,1
espero la continuacion saludos desde venezuela,0,0
la lider en su sector comportandose como lo que es pero ella no tiene la culpa por suerte los chinos estan empujando fuerte para bajarla de la nube,0,0
otra razon mas por la que no soporto a tesla semejante dictadura una intromision es to coche q lo has pagado y de manera remota te apagan el coche es el colmo inaceptable semejante intromision,0,0
ole joder que corto se me a echo por favor mas videos si es posible,0,0
no tendras nada y seras feliz,0,1
pirateo corporativo dales cana y sienta precedente,1,1
me recuerda al rebuelo de que segun que coches no se podian repara o asi de hace unos meses,0,0
un v8 o un w12 de bmw o mercedes y a correr al circuito asi pones a prueba la torsion del chasis en alto rendimiento suerte un abrazo,0,0
es una de las consecuencias de las cosas inteligentes es dejar a un desconocido poseer todas tus cosas,1,0
gracias por todo don angel eres una maquina,1,0
pero sera que el no sabe ingles,0,0
grande angel por cierto la ha llegado tu video del pobre anciano condenado sin palabras,0,0
saludos angel les escribo para una consulta que le puedo hacer a un bmw 325xi dos mil tres automatico para bajar la temperatura del radiador habra algun tipo de cooler que se agregue adicional gracias,0,0
que buen video angel espero que los que esten pensando en comprarse estos vehiculos al menos lo consideren,0,0
buenas me suena mucho eso de piratearlo en vehiculos accidentados incluso con el del pin se puede saludos,0,0
el coche electrico no vale para nadagasolina hay para muchos anospero nos estan enganandopor cierto nunca comprare un tesla y menos un electricocompraria un opel kaded gsi 16veso si es un buen coche,0,0
dale cana a todo esto angel sinceramente ole tus huevos,1,1
angel porque no han guardado los coches como se guardan las cosas para que duren no obstante respondiendo a tu video no hay derecho a que las marcas hagan lo que quieran con nosotros los consumidores a mi como profesional me ha puesto kia las revisiones cada 7500km otro abuso de poder gracias por tus videos,0,0
manana me compro un tesla pero vamos corriendo anda y que les den,1,1
la culpa de todo la teneis todos los que comprais un coche electrico,1,0
lamentable el actuar de tesla,1,0
no compro un electrico ni que me regalen el impuesto de circulacion,0,0
bien interesante saludos,1,1
estaria genial ver como los rehavilitas demostrar que no todo es de usar y tirar y volver a comprar nuevo,0,0
esto me da la idea de que un hacker se le ocurra entrar en el sistema remoto de tesla y poner todos los tesla del mundo en modo salvaje jajaja anda que no me iba a reir yo,0,0
grande y comprometido,1,1
es vergonzoso que les permitan esto quien tiene que certificar que esta para circular es la itv lo repare quien lo repare,0,0
gracias,1,1
angel si pudiera te apostaria a que algun ingeniero ruso ya se encontro ese problema y programo alguna mochila para saltarse ese bloqueo y mas entre otras cosas para jorobar a los yankees que se creen muuu listos toda programacion se puede reprogramar ahi te lo digo yo,0,0
jajajaja vaya tela se esta poniendo precioso el panorama,0,0
de lokos,1,1
mejor de combustion,1,1
vamos angel esos coches los tienes que poner a circular otra vez asi que dale cera,1,1
a ver si los vemos limpitos y funcionando no entiendo como lo pueden tener con las ventanillas y capot abiertos estan que dan asco es necesario ponerse un mono para entrar en ellos,0,0
es mejor un vehiculo normal o a las malas hibrido no enchufable,1,0
y no me parece correcto lo que hace tesla desactvando un vehiculo propio,0,0
derecho de reparacion de la ue,1,0
una pregunta si importas un vehiculo y es v6 o v8 no te permite circular la dgt,0,0
adelante angel,1,1
no es posible localizar o intentar localizar al primer usuario para preguntarle por el pin,0,0
mira depende del estado en usa puede ser un salvage con opcion rebuldaible o tank setenta y cinco son opciones para cambiar el titulo y luego vas itv tuv rheinland que la acepta tesla usa,0,0
no comprare un tesla jamas muchas gracias saludos,0,0
eso mat astromg te lo repara en un plisplas,0,0
estaria bien que en tesla informasen debidamente del servicio postventa ahora desde q los coches tienen conexion a internet el control y las subscripciones por determinados servicios se intenta normalizar para rascarte el bolsillo mes a mes cada vez la libertad de movimiento sale mas cara,0,0
los tesla usados acabaran regalaos,1,1
una tremenda estafa,1,1
musk tiene que estar partiendo la caja de reirse de los fans y compradores de las lavadoras tesla me quedo con un hibrido y una balay,0,0
denuncialos lo de la opsolencia programada ya es pasarse pero que ya ni se corten y te apagen el coche para que sea inservible no hay palabras para describirlo de momento sera tesla y ya se sabe lo bueno no se copia pero lo malo se recopia no me extranaria que terminaran todos los fabricantes desactivandote el coche si te va bien con el para que compres otro nuevo,0,0
pues todavia hay gente que defiende esta marca hasta que les pase a ellos esto es una verguenza que defiendan el coche electrico con tamanas chapuzas vaya estafa saul lopez seguro que aqui tendria algo que decir,1,0
adelante con los tesla es una verguenza que por no reparar el vehiculo en tesla te lo apaguen en remoto y que no puedas matricular el coche por un codigo pin,0,0
bajo mi punto de vista los teslas que se los meta por donde les quepa la marca eso que adquieres un vehiculo y te esten controlando a donde vas cuanto tardaras de a a b en todo momento y que alguien te pueda apagar tu vehiculo en cualquier momento sin justificacion eso companeros no es libertad ni ecologia al tener que tirar el coche con pocos anos y pensar una cosa un pulso electromagnetico que se genere en un lugar de forma natural o artificial como arma dejaria a todos los vehiculos electricos fritos de por vida,0,0
seria impresionante el tesla con un v8 como hacen en eeuu,0,0
a muerte contra tesla,0,1
nadie se pregunta porque a pesar de estas cosas tesla es la marca de electricos mas vendidaporque supongo que no todos los que se compran un coche de esta marca son fanaticos o fans de tesladebe ser por algo que cada vez que salgo con mi coche por mi ciudad veo uno o dos tesla cada veinte minutossera una nueva droga esparcida por elon musksus satelites y cohetes son para alterar la conducta de los humanos para que compren teslasinteresante,0,0
al final si eres propietario de un tesla es como si vas en un carste puede parar el duno del circuito cuando le apetezca yo seguire con mi xantia 20hdi que tiene 290000km y creo que todavia pelea,0,0
hola angel ponle un motor de combustion,0,1
esto con un coche de verdad de los de siempre no pasaria compras un coche es tuyo vaya estafa tesla,1,1
compraste el servicio coche es propiedad de tesla,1,0
a cada desman de tesla menos confianza en esa empresa y sus directores luego dicen que las empresas europeas no pueden competir con estos mangantes,0,0
no tienes huevos a meterle un v8 y para el circuito jajajaj un saludo,1,0
tesla es la mayor estafa del mundo del motor,0,0
algo parecido pasa con jon dere,1,1
se me acaba de ocurrir pero y si hablas con victorius y usais el fliper zero para ver si rebentais la seguridad y descifrais el pin del coche yo no tengo ni idea de usarlo pero vamos visto que puede hacer casi de todo no me extranaria que esto tambien al fin y al cabo es un ordenador con ruedas este coche o rollo inhibidor de senal y le metes la diagnosis a ver por que si te lo capan remotamente asi no pueden acceder no se es una batalla de ideas igual ninguna vale pero por probar,0,0
si metes tres veces el pin erroneo te pide el puk para lo que aun estamos en meter la llave giro y arranca todo esto es surrealista,0,0
angel millones de gracias con tus denuncias estas abriendo camino en la jungla,0,0
las tragaderas que tiene la ue con tesla son de traca,0,0
lavadoras con ruedas,1,1
habria que darle a elon musk unas clases de libertad de esa de la que el a veces habla,0,0
a por ellos angel tumba a tesla de nuevo,1,1
saca un permiso de conducir en mexico lop puedes hacer desde alla,0,0
viva el petroleoooo,1,1
hay que hacerse un test de iq antes de comprar un coche electrico,1,1
pese lo mismo ponerle un buen motor termico,1,1
la dictadura de tesla y apple estos gringos y su democracia a su manera cuando les conviene todos los demas son los malos,1,0
jajajaja que feliz soi con mi bmw e30 del ochenta y nueve,0,0
no compras un tesla compras un permiso para ser un propietario temporal,0,0
a ti gusta causar controversia y desinformar tu sabes lo importante q es la seguridad de q si te roban el coche sin la contrasena no lo puedan usar por eso es caro el iphone por su seguridad deja de mentir y disfrazar la mentira,0,0
vaya cantidad de ventajas que tiene el vehiculo electrico al final las mentiras y los mentirosoa caen por su propio peso,0,0
pura mafia una verguenza grande angel,1,1
oro puro este contenido angel muchisimas gracias y sigue asi companero,0,1
el problema no es tesla el problema es espana y su burocracia ese se llama seguridad igual al iphone si no tienes tu icloud no puedes usarlo y por eso es q iphone es el mejor movil,0,1
electricos estafa,1,1
eso debe ser ilegal y denunciable,1,1
la misma politica que apple supongo que es la cultura empresarial americana que avasalla al pobre consumidor,1,0
desde luego solo puedo decir una cosahay q ser gilippara comprarse una mierda de esas,0,1
a por ellos otra vez no hay derecho si yo compro el coche es mio no se ellos porque cono los apagan quien cono se creen que son,0,0
estamos manipulados por todos ladosadelante con tu investigaciongran video angel,1,1
y seguro que vais a conseguir poner a andar esos autos y tesla debera reconocer sus errores con humildad como lo hizo la compraventa que acepto sus debilidades y decidio hacer un cambio para dar un servicio como corresponde dale para adelante,0,0
es imposible que tesla pueda apagarte el tesla indefinidamente sin que este estipulado en el contrato o en las condiciones de compra lo mejor que podrias hacer es poner a un tio experto en contratos y que se revisara y estudiara de arriba a bajo todas las condiciones y todo lo que estipula un contrato de compraventa de tesla creo que nos podriamos sorprender todos de lo que sacarias de ahi,0,0
estoy contigo angel,1,1
no es legal estoy contigo,0,0
por que no se puede meter un v8 en espana,1,0
quien es el guapo que se compra un tesla de segunda mano,1,0
por mi parte pese a sus defectos y fallos considero un buen coche cualquier modelo de la marca independientemente de gustarme o no pero jamas de los jamases me comprare en la vida un tesla en base a sus denigrantes politicas y lo dicho ordenadores sobre ruedas no son coches estrictamente en si,0,0
si creeis que esto pasa solo con electricos no teneis ni idea en mi taller tengo las maquinas de diagnosis marelli autocom y autel y aun asi hay piezas que no puedo ajustar o programar y me toca ir a la casa para que me jodan vivo,0,0
es gratificante que a pesar del mundo que vivimos aun exista personas con la integridad y transparencia que todos debemos tener comparto tu manera de actuar y pensar las cosas hay que hacerlas como corresponde y denunciar aunque eso cueste la vida solo con gente asi llena de valentia y dignidad es que podemos generar cambios que retumben gracias gracias gracias,0,0
animo con los tesla ojala los arregles y vayas mostrando los avances me encantaba tesla pero con el tiempo y por detalles como estos cada vez me gusta menos esa marca saludos,0,0
no parte mientras tengas el cofre abierto,1,1
no se incluso a nivel legal si pueden desconectarte un coche de esa manera y convertirlo en algo inservible lo que pasa es que como siempre la legislacion suele ir por detras de la evolucion pero cuando se legisle tengo mis dudas de si se puede seguir actuando de este modo,0,0
angel te pongo en contacto con una persona en dos horas tendras todo hackeado mas bonus supercharger gratis de por vida,0,0
justo pensaba lo mismoel coche de quien es pues eso de tesla pueseso,1,1
no se puede ser mas claro angel el ecologismo es un negocio aqui y en el resto del mundo yo no soy un fanatico de la marca pero los veo circulando y me gustan pero lo que si tengo claro es que con esa politica que ha creado la marca yo jamas me compraria uno se que los puristas de tesla pensaran diferente pero es un sin sentido todo lo que rodea a esta marca ahora catorce mil empleados van a la calle porque no estan consiguiendo los objetivos por que sera mientras tanto los chinos colapsan los puertos con sus vehiculos en fin que da gusto angel oirte decir las cosas muy claritas y sobre todo hacernos ver a todos que las cosas no son tan bonitas como nos la cuentan y que detras de todo esto hay un negocio dirigido por personas sin escrupulos,0,0
es un tema delicado ahora mismo en mexico hay un problema gordo por el robo de autopartes yo tengo una amigo que se dedica a restaurar tesla salvages y los vende pero si tiene que recertificarlos tesla para que ande el supercharger espero que encuentres la manera ya que como dicen hecha la ley hecha la trampa y uno aprende mas de la adversidad que de la comodidad,0,0
bajo mi punto de vista esto que hacen va en contra de la normativa europea de libre reparacion de vehiculos habria que estudiar si se puede denunciar a la marca,0,0
gran trabajo hay que sacar estas practicas dudosas a la palestra,0,0
eres un crack saludos desde uk,0,1
eres un maquina seguro que lo sacas adelante,1,0
lo que no es normal es que no esten ya piarateados y desabilitado toda la basura que llevan de comunicacion con la fabrica,0,0
tesla tendria que hacer motos scooter,1,1
visto lo visto cada dia me gusta mas mi merchi de veintidós anitos,0,1
anda que el que se compra un tesla tiene un castigo es increible,0,0
don angel es usted un crack ingenieria mecanica y de protocolos encuentra usted todos los fallos y malas praxis,1,0
por eso no tengo tesla con kia ev6 no pasa esto,0,0
la gente esta obsesionada con tesla cuando entre es una mierda para estas cosas se creen duenos de los coches tanto software y tanta tecnologia y tanta camara en el interior para queluego hagan lo que les de la ganahay otras marcas que sus coches funcionan igual de bien y no te controlan tantoyo llevo dos anos con mi vw id3 max y estoy super contento y el piloto automatico va genial y conduce genial solo nada que envidiar al autopilot y otras marcas igual de bien,0,0
con muchas ganas de ver como acaba seguramente que acabe circulando pero no gracias a tesla es vergonzoso que compres un vehiculo de este tipo y estos senores por sus cojones morenos puedan decidir apagarlo esto no va en contra de las politicas de libre mercado lo verde importa muy poco aqui lo primordial es pasar por caja,0,0
lo mejor es un vehiculo analogico no digitallo arreglas con un chicle,0,0
otro caso non grato acelera infinitamente el dinero es muy verde sera ecologico,1,1
tesla son los nuevos apple y la gente los sigue comprando bravo,1,0
a tesla le ha gustado el olor a juzgado y quiere otro jajaja,0,0
a disfrutar,1,1
comprar un automovil electrico es comprar una maceta cara porque para lo unico que te va a servir cuando se rompa es para poner plantas en su interior,0,0
como para comprar uno hay que huir de esa marca,0,0
el dia de manana saran desactivados todos y nunca mas tendras tu auto ya lo han dicho los que saben de autos que tesla es una esatafa y esto es un ejemplo del comienzo parece ser gracias por los contenidos de tanta ayuda al consumidor de automoviles saludos desde noruega,0,0
solucion otra demanda jajajaja,1,1
tengo treinta y cinco anos y morire manejando vehiculos a gasolina que me la lacten esas porquerias electricas,0,0
vaya futuro con esta pm coches,0,1
muy interesante gracias,1,1
angel eres un grande vamos a arreglar el tesla,0,0
teneis que llamar a un hacker,1,0
angel representas al ocho mil noventa de la poblacion que usa un coche d los autenticos y q queman carburante adelante y saludos,0,0
bienvenido a la libertad liberal,0,0
una cosa es perder la garantia o incluso no querer atenderte ellos que eso ya estaria mal y otra es bloquearte en remoto funcion que deberia ser exclusiva para robo por cosas como esas no quiero un tesla con ellos tienes que pasar por el tubo creo que eso es un robo del coche por parte del fabricante y se podria denunciar por ese motivo,0,0
vaya timo,1,1
dale cana al tema,1,1
pero la gente aun no se ha enterado de que los teslas son chatarras con ruedas,0,0
mercedes no permite que abras el capo de un eqs,1,0
hyundaikia desde sus paisanos de la nada falloerror de frenos y no arranca grua y taller,0,0
es hora de hacer un tesla 2jz jaja,0,1
rehabilitacion,1,1
en espana no se puede hacer nada salvo pagar impuestos otro teslatimo,1,1
gran trabajo,1,1
bienvenido al mundo real,0,1
todos muy verde jodo,1,1
buenas angel eres mi idolo estoy ahorrando para pedir cita y llevarte mi mercedes c270 cdi del dos mil dos con 19500km actuales el cual no cambiaria por nada y llevo muchos anos con el para que me lo mireis y pongais a punto aunque va perfecto un abrazo angel,0,0
porque aunque lo pagues no eres propietario ese es el futuro para haras por el uso no por la propiedad y el dia que no pagas te quedas si nada,0,0
no puedes hacer swap del cuadro y ka mcu como en los termicos,0,0
angel a por ellos que tu si que sabes gracias,0,0
un v8 para circuito ya va siendo hora angel jajaj para algo tienen que servir esos teslas,1,1
vayamos tomando nota donde esta el ministerio de industria ni esta ni se le espera anarquia,0,0
comprendo que el ingles en espana esta dificilpero salvage significa salvable o reparable no salvaje,0,0
donde este mi mercedes trescientos del ochenta eso si es una joya,0,0
el mundo de cada vez es mas de los piratas,0,0
hipocresia pura dura que asco de verdad,1,1
elon musk tiene la idea de que un tonto y su dinero no tienen que estar mucho tiempo juntos y en eso tenemos que estar de acuerdo con el,0,0
gracias angel ya se que marca no se debe ni tocar,0,0
lo del pin es lo mismo que hace apple con sus telefonos como vendas uno con pin y no lo sabes es un atirrobo es jodido porque es una medida extrema pero creo que todos los coches electricos que funcionan igual con lo del pin son iguales,0,0
cada vez los coches electricos van a tener menos futuro a corto plazo,1,1
muchas gracias estoy de acuerdo contigo el model s es uno de mis coches faboritos pero soy pobre espero ver como vas reparando los coches paso a paso mucha suerte y qe te valla bien,0,0
em bmw los llaman traeme el inodoro del senor x los coches libres tenen otro precio y seguramente esta escrito en la ketra pequenaaqui en el pais de los pillos van pir delante en las trampitas,0,0
es lo que hay comprate un electrico decian,0,0
en resumen tesla es una mierda,0,1
despues criticamos a los chinos no se si les pasara lo mismo pero en principio no creo que sean tan usureros,0,0
que bien hablas ojala mas gente como tu quitando el incidente que tuvistes con el chico extranjero al que le conseguistes trabajo y papeles y despues te dejo tirado cuando los consiguio te lo merecias por ir de progre inclusivo eres un crack,0,0
bravo angel buenisimo video denuncia bravo,1,1
despues de lo que hace tesla ahora el futuro del equipamiento sera por suscripcion el vehiculo sera tuyo pero los extras seran de pago y si los pagas mes a mes podras disfrutarlos,0,0
esto es bueno que pase para que la gente ya no se compre un tesla consumo menos con mi ciclomotor de cuarenta y nueve y pago menos de seguro,0,0
hoy en cuarto milenio,1,1
estas viendonel futuro de las cbdc de repente te van a decir que tu dinero ha desaparecido por que no les gusto tu ultimo comentario,0,0
gasoil o gasolina hasta que me muera ah y nada de softwares conectados a la marca,0,0
por algo les interesara poder apagar cualquier coche a su antojoes nada mas y nada menos que un corte mas hacia la libertad de la genteporque nadie deberia tener la potestad de las cosas del otroa no ser que la gente fuera consciente y no comprara esa marca de cochesaunque poco a poco el futuro del coche va a eso mismono es legal claro que nopoco a poco iremos viendo mas ilegalidades y mas injusticiastendras que remar contra corrienteno les debe de interesar que seas tan honesto y sincerosaludos,0,0
demuestrale que tienes conocimientos y cojones para ponerlos en marcha y cargar de nuevo la bateria en cargadores de otros,0,0
seguire por muchos anos con mi mazda3 de gasolina del dos mil trece un saludo angel,0,0
gracias estoy contigo,1,0
la politicas de monopolio en estados unidos es brutal apple ya esta siendo investigado por estas practicas y lo de tesla es vergonzoso es impresentable los politicos deberian ver este video y poner sanciones sobre esta practica lo que quieren basicamente ante cualquier problema choque o que el auto no funcione es que te compres otro lo mismo que con los celulares es una locura,0,0
en espana si a un coche le dan siniestro total se le da de baja en trafico y ya no puede circular pues en otros paises pasa parecido el que compra en una subasta tiene que saber bien lo que compra a mi no se me ocurre comprar un siniestro total y luego indignarme xq no puedo circular con el,0,0
dales cana de ribereno a ribereno,1,1
en 80electrico tienen uno jaqueado podias poneros en contacto saludos,0,1
